"concat";"geo";"priority";"id"
"1-? ???????? ????????, 12";"55.19336, 61.473026";"1";"340"
"1-? ???????? ????????, 13";"55.193288, 61.472443";"1";"341"
"1-? ???????? ????????, 14";"55.193458, 61.472604";"1";"342"
"1-? ???????? ????????, 15";"55.19335, 61.472101";"1";"343"
"1-? ???????? ????????, 16";"55.193551, 61.472236";"1";"344"
"1-? ???????? ????????, 17";"55.193432, 61.471733";"1";"345"
"1-? ???????? ????????, 18";"55.193648, 61.471904";"1";"346"
"1-? ???????? ????????, 19";"55.19353, 61.471418";"1";"347"
"1-? ???????? ????????, 2";"55.192656, 61.475694";"1";"348"
"1-? ???????? ????????, 20";"55.193751, 61.471526";"1";"349"
"1-? ???????? ????????, 3";"55.192538, 61.475128";"1";"350"
"1-? ???????? ????????, 4";"55.192775, 61.475299";"1";"351"
"1-? ???????? ????????, 5";"55.192641, 61.474787";"1";"352"
"1-? ???????? ????????, 6";"55.192882, 61.474985";"1";"353"
"1-? ???????? ????????, 7";"55.192728, 61.4745";"1";"354"
"1-? ???????? ????????, 8";"55.192949, 61.474652";"1";"355"
"1-? ???????? ????????, 9";"55.192805, 61.474203";"1";"356"
"1-? ?????????? ????????, 10";"55.166763, 61.524491";"1";"357"
"1-? ?????????? ????????, 11";"55.166773, 61.523943";"1";"358"
"1-? ?????????? ????????, 12";"55.166917, 61.524329";"1";"359"
"1-? ?????????? ????????, 13";"55.166984, 61.523772";"1";"360"
"1-? ?????????? ????????, 14";"55.167071, 61.524203";"1";"361"
"1-? ?????????? ????????, 15";"55.167123, 61.523602";"1";"362"
"1-? ?????????? ????????, 16";"55.167226, 61.524078";"1";"363"
"1-? ?????????? ????????, 3";"55.166176, 61.524545";"1";"364"
"1-? ?????????? ????????, 4";"55.166274, 61.524841";"1";"365"
"1-? ?????????? ????????, 5";"55.16632, 61.524365";"1";"366"
"1-? ?????????? ????????, 6";"55.166434, 61.52476";"1";"367"
"1-? ?????????? ????????, 7";"55.166475, 61.524212";"1";"368"
"1-? ?????????? ????????, 8";"55.166598, 61.524635";"1";"369"
"1-? ?????????? ????????, 9";"55.166624, 61.524078";"1";"370"
"1-? ???????? ???????, 1";"55.12379, 61.424661";"1";"371"
"1-? ???????? ???????, 10";"55.123976, 61.423287";"1";"372"
"1-? ???????? ???????, 11";"55.123708, 61.422532";"1";"373"
"1-? ???????? ???????, 12";"55.123996, 61.422802";"1";"374"
"1-? ???????? ???????, 13";"55.123677, 61.422146";"1";"375"
"1-? ???????? ???????, 14";"55.123945, 61.422469";"1";"376"
"1-? ???????? ???????, 15";"55.123662, 61.421858";"1";"377"
"1-? ???????? ???????, 15?";"55.123651, 61.421499";"1";"378"
"1-? ???????? ???????, 16";"55.123919, 61.422128";"1";"379"
"1-? ???????? ???????, 17";"55.12361, 61.420529";"1";"380"
"1-? ???????? ???????, 17?";"55.12361, 61.420906";"1";"381"
